CommitHash,Author,Date,FilesChanged,Insertions,Deletions,Message
80b2cc4,MadhavArora1213,2026-01-21,24,1635,366,"feat: Add new pages and common components for Awards, Events, Cookies, and other sections, along with multi-language support."
d1de8b8,MadhavArora1213,2026-01-21,1,1,0,"feat: Implement i18n LanguageContext and Provider for managing translations, language switching, and text substitution."
e144547,MadhavArora1213,2026-01-21,2,14,8,"feat: Implement internationalization with a new language context and add a new FAQ page utilizing the translation functionality."
e8b7c70,MadhavArora1213,2026-01-21,10,571,201,"feat: add footer, FAQ page, feature slider, and ticker components with expanded internationalization support."
40b6792,MadhavArora1213,2026-01-21,1,39,4,"feat: add UserHeader component with navigation, authentication links, social media, contact information, and language selection."
1f01c0a,MadhavArora1213,2026-01-21,8,517,145,"feat: Add internationalization support with new language files and introduce `FeatureSlider` and `UserHeader` components."
1d3cc74,MadhavArora1213,2026-01-21,1,82,26,"feat: add UserHeader component with navigation, authentication, language switching, and social media links."
267358b,MadhavArora1213,2026-01-21,11,896,80,"feat: Implement internationalization with new language context, translation hook, locale files, and a new TopHeader component."
305b8d8,MadhavArora1213,2026-01-21,1,17,17,"feat: Add `FeatureSlider` component to display dynamic features with translation support and navigation."
f7e1521,MadhavArora1213,2026-01-21,1,17,17,"feat: Add a new `FeatureSlider` component to dynamically showcase product features with i18n support and auto-play functionality."
b75bf7f,MadhavArora1213,2026-01-21,10,46,22,"feat: Introduce new simplified common components for various content categories and a top header."
602c06a,MadhavArora1213,2026-01-21,3,34,64,"feat: add common Icon, TopHeader, and UserHeader components."
4b8a203,MadhavArora1213,2026-01-21,3,35,33,"feat: implement common Icon component and TopHeader and UserHeader UI."
6c384e5,MadhavArora1213,2026-01-17,1,85,59,"update csr"
8e4f866,MadhavArora1213,2026-01-17,1,1,0,"feat: add How It Works page to explain platform usage with steps and FAQs."
41141df,MadhavArora1213,2026-01-17,1,9,7,"feat: implement How It Works page detailing platform usage with steps and FAQs."
b332bbe,MadhavArora1213,2026-01-17,1,1,1,"feat: add UserFooter component for site navigation, legal links, and social media integration."
2a47fa7,MadhavArora1213,2026-01-17,1,84,198,"feat: Add How It Works page detailing platform steps and common questions."
2b0b38f,MadhavArora1213,2026-01-17,1,158,211,"feat: add How It Works page detailing platform steps, benefits, and frequently asked questions."
264b588,MadhavArora1213,2026-01-17,1,3,23,"feat: Add ServicesOverview page component with service details, features, and a "why choose us" section."
9dd442b,MadhavArora1213,2026-01-17,1,63,42,"feat: create ServicesOverview page to showcase services, benefits, and a call to action."
5b30375,MadhavArora1213,2026-01-17,1,86,132,"feat: Add Services Overview page displaying service categories, statistics, and calls to action."
49e23b1,MadhavArora1213,2026-01-17,1,77,102,"feat: add new `ServicesOverview` page component to display platform services and features."
75e3bc5,MadhavArora1213,2026-01-17,1,116,142,"correct"
102e9ea,MadhavArora1213,2026-01-17,1,175,220,"uppdated"
111fccc,MadhavArora1213,2026-01-17,1,1,1,"correct about us"
18c9955,MadhavArora1213,2026-01-17,1,74,53,"about us"
d9755d0,MadhavArora1213,2026-01-17,1,74,78,"feat: add new About Us page component with company vision, values, and details"
1a3e4fd,MadhavArora1213,2026-01-17,1,80,91,"updated"
0260492,MadhavArora1213,2026-01-17,1,110,85,"correct"
63a8f89,MadhavArora1213,2026-01-17,1,103,329,"update about us"
d436c7b,MadhavArora1213,2026-01-17,1,1,1,"correct"
e67cd7b,MadhavArora1213,2026-01-17,1,0,6,"update reselling"
6284fc4,MadhavArora1213,2026-01-17,1,109,111,"feat: add Reselling Agreement page detailing partnership terms and conditions."
8d00cec,MadhavArora1213,2026-01-17,1,144,23,"resellingbaggreementr update"
23b7f51,MadhavArora1213,2026-01-17,1,3,3,"correct"
2378eaf,MadhavArora1213,2026-01-17,1,3,3,"corect"
bcc54c4,MadhavArora1213,2026-01-17,1,142,33,"data policy"
9e96f2d,MadhavArora1213,2026-01-17,1,4,3,"correct"
d0984b1,MadhavArora1213,2026-01-17,1,9,3,"feat: Add a new page for displaying the Trademark Policy."
7178379,MadhavArora1213,2026-01-17,1,160,19,"update trademark policy"
95378d9,MadhavArora1213,2026-01-17,1,1,1,"correct"
967fb8e,MadhavArora1213,2026-01-17,1,73,75,"correct"
7e29ed3,MadhavArora1213,2026-01-17,1,126,29,"update terms and conditions"
3d599b8,MadhavArora1213,2026-01-17,1,181,93,"update ui"
7d1f4e5,MadhavArora1213,2026-01-17,1,81,99,"correct"
29d3f89,MadhavArora1213,2026-01-16,1,96,143,"update"
5374b1b,MadhavArora1213,2026-01-16,1,182,34,"refend policy"
c852009,MadhavArora1213,2026-01-16,1,163,130,"correct"
d52574c,MadhavArora1213,2026-01-16,1,160,28,"correct"
dee8bff,MadhavArora1213,2026-01-16,1,3,1,"correct"
e4ac301,MadhavArora1213,2026-01-16,1,12,12,"updated"
d57c960,MadhavArora1213,2026-01-16,1,45,40,"updated"
92b9733,MadhavArora1213,2026-01-16,2,206,215,"udpated teh ui"
63789f6,MadhavArora1213,2026-01-16,1,236,21,"correct"
401c65e,MadhavArora1213,2026-01-16,10,531,2054,"footer pages updated"
1d792bc,MadhavArora1213,2026-01-16,1,19,505,"user footer updated"
c64b329,MadhavArora1213,2026-01-16,1,5,5,"correct"
b9ec563,MadhavArora1213,2026-01-16,1,6,6,"correct"
aa98cab,MadhavArora1213,2026-01-15,1,38,38,"updated"
95008c7,MadhavArora1213,2026-01-15,1,1,1,"correct"
1cd8729,MadhavArora1213,2026-01-15,4,22,24,"correct"
187771a,MadhavArora1213,2026-01-15,2,6,6,"correct"
f1a4189,MadhavArora1213,2026-01-15,2,12,12,"update ui"
35d55fe,MadhavArora1213,2026-01-15,4,348,189,"correct"
3f05635,MadhavArora1213,2026-01-15,3,147,133,"correct paparazzi error"
37968e2,MadhavArora1213,2026-01-15,6,1367,26,"updsated"
8055ded,MadhavArora1213,2026-01-15,1,38,24,"correct"
4def6e0,MadhavArora1213,2026-01-15,1,40,26,"correct"
f519342,MadhavArora1213,2026-01-15,2,8,5,"feat: Implement podcaster management functionality and add a common Icon component."
8f29d4a,MadhavArora1213,2026-01-15,4,611,14,"correct"
ff48e8e,MadhavArora1213,2026-01-15,1,0,36,"orrect"
649ea00,MadhavArora1213,2026-01-15,1,73,46,"correct"
48955f3,MadhavArora1213,2026-01-15,1,0,120,"correct"
4861457,MadhavArora1213,2026-01-15,4,467,13,"updated"
50d2d1f,MadhavArora1213,2026-01-15,1,7,0,"correct"
7e95834,MadhavArora1213,2026-01-15,1,105,0,"updated"
cac8469,MadhavArora1213,2026-01-15,2,254,155,"updated"
114c647,MadhavArora1213,2026-01-15,1,1,7,"correct"
1207dca,MadhavArora1213,2026-01-15,3,213,0,"updated"
134daa1,MadhavArora1213,2026-01-15,1,2,12,"feat: Add admin sidebar component with navigation, user information, and dropdown menus."
ad711f7,MadhavArora1213,2026-01-15,2,7,5,"solve 500 error"
8b33ee3,MadhavArora1213,2026-01-15,2,21,3,"correct"
7904e2d,MadhavArora1213,2026-01-15,4,524,15,"feat: Implement full CRUD functionality for radio stations in the admin panel, including image uploads and dedicated API endpoints."
8a8ef45,MadhavArora1213,2026-01-15,1,1,1,"corret"
f716f95,MadhavArora1213,2026-01-15,1,75,0,"correct"
28999b5,MadhavArora1213,2026-01-15,2,29,156,"fnal check"
c45736b,MadhavArora1213,2026-01-15,3,120,12,"updated"
e12eeb2,MadhavArora1213,2026-01-15,3,25,6,"correct"
4d20e03,MadhavArora1213,2026-01-14,1,2,1,"correct bulk operation"
fb1e79e,MadhavArora1213,2026-01-14,2,32,12,"correct"
1f0fab0,MadhavArora1213,2026-01-14,6,510,22,"code correct"
fe75286,MadhavArora1213,2026-01-14,1,1,1,"updated"
ff8ed60,MadhavArora1213,2026-01-14,2,8,3,"updated"
4e387e4,MadhavArora1213,2026-01-14,1,14,2,"corrected"
10326d7,MadhavArora1213,2026-01-14,1,7,2,"correct"
c1dec1a,MadhavArora1213,2026-01-14,1,5,10,"correct"
e90a0b4,MadhavArora1213,2026-01-14,1,57,14,"updated"
b57d75d,MadhavArora1213,2026-01-14,2,56,57,"solve error"
dda407c,MadhavArora1213,2026-01-14,10,401,317,"update the code"
5cb4336,MadhavArora1213,2026-01-14,14,623,37,"updated the code"
5a79815,MadhavArora1213,2026-01-14,3,334,7,"update code"
9515f02,MadhavArora1213,2026-01-14,3,439,1,"updated press pack"
ac7e539,MadhavArora1213,2026-01-14,1,8,8,"updated"
ce1d91c,MadhavArora1213,2026-01-14,1,6,4,"solve error"
cc1d802,MadhavArora1213,2026-01-14,1,6,6,"updateded"
fcdfcf8,MadhavArora1213,2026-01-14,1,12,5,"correct"
1653a09,MadhavArora1213,2026-01-14,1,4,4,"correft"
2112abb,MadhavArora1213,2026-01-14,4,572,7,"correct"
11ce805,MadhavArora1213,2026-01-14,1,3,7,"correct the reporters"
8c5386a,MadhavArora1213,2026-01-14,3,314,226,"add download csv in user management"
f39a218,MadhavArora1213,2026-01-14,1,156,0,"correct"
4a7a5b0,MadhavArora1213,2026-01-14,1,1,1,"correft"
84ed895,MadhavArora1213,2026-01-14,1,18,0,"updated"
4f9c13c,MadhavArora1213,2026-01-14,1,67,7,"udpated"
9e190ef,MadhavArora1213,2026-01-14,1,78,0,"correct"
5e35aae,MadhavArora1213,2026-01-14,1,27,0,"correct error"
6612371,MadhavArora1213,2026-01-14,3,395,77,"update theme"
923bf04,MadhavArora1213,2026-01-14,3,34,20,"correct bulk operations code in this"
2bafde5,MadhavArora1213,2026-01-14,3,154,12,"website updated"
59f7856,MadhavArora1213,2026-01-14,3,437,16,"correct the group managament"
32f2e6e,MadhavArora1213,2026-01-14,3,444,7,"correct"
2c46678,MadhavArora1213,2026-01-14,1,0,1,"correct"
0ed7016,MadhavArora1213,2026-01-14,3,457,37,"correct this"
260b0fe,MadhavArora1213,2026-01-14,3,101,0,"event enquiry updated"
d02ebe5,MadhavArora1213,2026-01-14,2,507,395,"correct this code"
4ec5eea,MadhavArora1213,2026-01-14,3,630,222,"correct this"
abc9bb9,MadhavArora1213,2026-01-14,1,5,3,"corrreect"
fc28927,MadhavArora1213,2026-01-14,3,398,13,"correct"
e981ca9,MadhavArora1213,2026-01-14,3,235,0,"correct code"
f6f026b,MadhavArora1213,2026-01-14,1,0,39,"correct"
5705858,MadhavArora1213,2026-01-14,1,7,0,"correct"
e727dc1,MadhavArora1213,2026-01-14,3,307,42,"correct"
6d9e282,MadhavArora1213,2026-01-14,1,1,7,"correct"
87e02e4,MadhavArora1213,2026-01-14,3,169,0,"correct"
2aecb7c,MadhavArora1213,2026-01-14,1,6,6,"correct"
5e30a72,MadhavArora1213,2026-01-14,2,14,1,"correct"
633d0b8,MadhavArora1213,2026-01-14,6,584,273,"correct"
8b536be,MadhavArora1213,2026-01-14,3,275,14,"correct this"
74c4183,MadhavArora1213,2026-01-14,1,133,10,"correct"
955bef3,MadhavArora1213,2026-01-14,3,226,0,"correct"
52889df,MadhavArora1213,2026-01-14,1,2,2,"correct"
9687ffb,MadhavArora1213,2026-01-14,1,24,27,"correct"
33a6f8b,MadhavArora1213,2026-01-14,3,246,11,"correct"
bff7030,MadhavArora1213,2026-01-14,3,217,7,"orrect"
06d1143,MadhavArora1213,2026-01-14,2,397,400,"correct"
3d97a35,MadhavArora1213,2026-01-14,1,23,0,"correct"
e5499d0,MadhavArora1213,2026-01-14,6,521,32,"correct"
84f8d6c,MadhavArora1213,2026-01-13,1,2,2,"https://vaas.solutions/admin/real-estate-orders"
040c2ab,MadhavArora1213,2026-01-13,1,408,234,"correct"
ae80fd6,MadhavArora1213,2026-01-13,9,818,218,"update search"
8366f08,MadhavArora1213,2026-01-13,3,256,60,"paparazzi"
e2ad722,MadhavArora1213,2026-01-13,3,282,73,"update event cration"
7fabb10,MadhavArora1213,2026-01-13,3,241,55,"update awards creation"
c33c596,MadhavArora1213,2026-01-13,1,5,5,"correct"
cb20e8e,MadhavArora1213,2026-01-13,5,74,0,"correct"
9679f3f,MadhavArora1213,2026-01-13,3,496,201,"correct"
25c0d0a,MadhavArora1213,2026-01-13,2,78,26,"correct"
177521f,MadhavArora1213,2026-01-13,1,16,81,"correct"
b6087f1,MadhavArora1213,2026-01-13,2,12,0,"corret"
9041565,MadhavArora1213,2026-01-13,3,275,0,"correct"
da3fa9a,MadhavArora1213,2026-01-12,1,1,1,"correct"
462be1a,MadhavArora1213,2026-01-12,1,343,248,"updated eventspages"
1be5f1f,MadhavArora1213,2026-01-12,2,27,1,"updated"
f69667a,MadhavArora1213,2026-01-12,2,3,417,"update header"
2ee875b,MadhavArora1213,2026-01-12,1,8,111,"correct app.jsx"
e3b4268,MadhavArora1213,2026-01-08,2,145,18,"correct"
1508ede,MadhavArora1213,2025-12-24,4,30,32,"feat: introduce real estate professional listing and detail pages with contact and order forms, and common UI components."
abbcaa4,MadhavArora1213,2025-12-24,2,24,4,"feat: add Icon and FeatureSlider common components."
1538577,MadhavArora1213,2025-12-24,1,4,4,"feat: add `FeatureSlider` component to showcase various business features with internationalization and auto-play functionality."
c4f7380,MadhavArora1213,2025-12-24,1,55,4,"feat: add `FeatureSlider` component for dynamic, auto-sliding display of services including new marketplace and influencer network features."
fbdf39e,MadhavArora1213,2025-12-24,1,34,3,"feat: initialize core frontend application structure with routing, context, and page components."
3844d40,MadhavArora1213,2025-12-24,1,6,2,"feat: Initialize frontend application with core routing, authentication, and all major page and admin components."
ee246ca,MadhavArora1213,2025-12-24,1,200,27,"feat: Initialize the main React application structure, routing, and authentication with context providers and protected routes."
db2e993,MadhavArora1213,2025-12-24,3,40,31,"feat: add UserHeader, AuthModal, and TopHeader components for site navigation and authentication."
758be17,MadhavArora1213,2025-12-08,3,3,3,"coorect"
8e7e7e5,MadhavArora1213,2025-12-08,8,19,24,"correct"
f97e867,MadhavArora1213,2025-12-08,5,48,46,"correct"
5cb0645,MadhavArora1213,2025-12-08,3,10,13,"correct"
f911edc,MadhavArora1213,2025-12-08,1,1,1,"correct"
a765d53,MadhavArora1213,2025-12-08,9,1345,6,"correct"
c1c75d3,MadhavArora1213,2025-12-07,1,1,1,"correcr"
9a4fdaa,MadhavArora1213,2025-12-07,2,37,251,"correct"
d364c5b,MadhavArora1213,2025-12-07,1,1,1,"correct"
e657057,MadhavArora1213,2025-12-07,1,3,2,"correct"
0673ecf,MadhavArora1213,2025-12-07,1,1,1,"correct"
0306375,MadhavArora1213,2025-12-07,1,1,1,"correct"
2376df8,MadhavArora1213,2025-12-07,1,6,6,"correct"
f3b022a,MadhavArora1213,2025-12-07,1,1,65,"correct"
035290f,MadhavArora1213,2025-12-07,5,570,51,"correct"
394440d,MadhavArora1213,2025-12-07,2,7,7,"correcet"
f830df6,MadhavArora1213,2025-12-07,1,276,0,"correct userheader"
6c11e00,MadhavArora1213,2025-12-07,2,31,30,"correct"
b4f98cb,MadhavArora1213,2025-12-07,2,36,5,"correct"
e47ab23,MadhavArora1213,2025-12-07,1,38,0,"gfd"
07a0821,MadhavArora1213,2025-12-07,1,37,3,"correct"
b3ec124,MadhavArora1213,2025-12-07,9,99,9,"correct"
5309ccc,MadhavArora1213,2025-12-07,1,3,3,"fdgh"
c07b35a,MadhavArora1213,2025-12-07,9,108,108,"correct"
8125ee5,MadhavArora1213,2025-12-07,1,2,2,"correct"
2158edf,MadhavArora1213,2025-12-07,1,1,1,"correct"
7bf7946,MadhavArora1213,2025-12-07,3,22,27,"correct"
3872005,MadhavArora1213,2025-12-07,2,6,9,"correct"
8be992f,MadhavArora1213,2025-12-07,2,3,0,"correct"
bb6c349,MadhavArora1213,2025-12-07,2,6,6,"correct"
66afd7f,MadhavArora1213,2025-12-07,1,23,19,"correct"
8c148a0,MadhavArora1213,2025-12-07,1,3,3,"correct"
ab48f81,MadhavArora1213,2025-12-07,1,41,19,"correct"
d6eeffe,MadhavArora1213,2025-12-07,2,6,6,"correct"
b5c0c38,MadhavArora1213,2025-12-07,1,92,0,"correct"
93dc751,MadhavArora1213,2025-12-07,1,6,6,"cvbn"
96afc78,MadhavArora1213,2025-12-07,2,63,7,"update"
fa53356,MadhavArora1213,2025-12-07,1,22,2,"rtfyj"
137b92a,MadhavArora1213,2025-12-07,1,2,2," h"
222bfee,MadhavArora1213,2025-12-07,1,3,3,"correct"
5173e0c,MadhavArora1213,2025-12-07,1,9,8,"correct"
3627fa8,MadhavArora1213,2025-12-07,1,38,85,"correct"
3785818,MadhavArora1213,2025-12-07,1,4,4,"correct"
f85c667,MadhavArora1213,2025-12-07,1,27,9,"correct"
f3d5d59,MadhavArora1213,2025-12-07,1,26,27,"xfcb"
658d52b,MadhavArora1213,2025-12-07,3,63,62,"correc"
617b749,MadhavArora1213,2025-12-07,1,28,11,"correct"
ee8a060,MadhavArora1213,2025-12-07,1,1,1,"update"
0de8c7f,MadhavArora1213,2025-12-07,1,12,4,"fgdhj"
b5c2980,MadhavArora1213,2025-12-07,3,17,2,"vbnmn"
9b7e265,MadhavArora1213,2025-12-07,1,20,8,"fgh"
606b7df,MadhavArora1213,2025-12-07,1,19,7,"fgvbhjnm"
64d18ba,MadhavArora1213,2025-12-07,2,2,3,"correct"
52f62fd,MadhavArora1213,2025-12-07,1,9,15,"correciu"
2e036b2,MadhavArora1213,2025-12-07,1,54,81,"updated"
22e503f,MadhavArora1213,2025-12-07,1,15,7,"dfxgchj"
b118a1b,MadhavArora1213,2025-12-07,1,2,7,"correct"
186aea5,MadhavArora1213,2025-12-07,2,25,19,"fghjkl"
35c29bf,MadhavArora1213,2025-12-07,2,27,10,"correct"
eb0bd18,MadhavArora1213,2025-12-07,2,41,7,"correct"
f5478b5,MadhavArora1213,2025-12-07,2,21,12,"correcrt"
68f7da5,MadhavArora1213,2025-12-07,1,1,3,"correct"
478b174,MadhavArora1213,2025-12-07,3,31,0,"correct"
78fb193,MadhavArora1213,2025-12-07,2,2,0,"corrcet"
ee10678,MadhavArora1213,2025-12-07,2,4,1,"cprrect"
a443092,MadhavArora1213,2025-12-07,2,4,19,"correct"
0bce074,MadhavArora1213,2025-12-07,2,6,38,"ok"
cb1cea9,MadhavArora1213,2025-12-07,2,8,12,"correct"
7b3cdd7,MadhavArora1213,2025-12-07,2,5,7,"correct"
542d1f2,MadhavArora1213,2025-12-07,1,2,2,"correct"
0254e74,MadhavArora1213,2025-12-07,2,43,20,"correct"
39155bc,MadhavArora1213,2025-12-07,2,10,5,"correct"
9a0fd9e,MadhavArora1213,2025-12-07,3,58,9,"correct"
36b54f5,MadhavArora1213,2025-12-07,1,92,46,"correct"
2246b02,MadhavArora1213,2025-12-07,4,527,277,"correct"
01ed536,MadhavArora1213,2025-12-07,3,176,91,"correct"
4888142,MadhavArora1213,2025-12-07,1,5,1,"csdfghj"
bee4798,MadhavArora1213,2025-12-07,1,3,0,"correct"
cf62c24,MadhavArora1213,2025-12-07,1,16,2,"correct"
3efc71d,MadhavArora1213,2025-12-06,1,9,2,"correct"
99e71f9,MadhavArora1213,2025-12-06,1,72,5,"correct"
70aa710,MadhavArora1213,2025-12-06,1,64,4,"correct"
11c2496,MadhavArora1213,2025-12-06,1,29,30,"correct"
35f56d7,MadhavArora1213,2025-12-06,1,4,4,"fg"
1d63325,MadhavArora1213,2025-12-06,1,9,9,"correct"
bd9c484,MadhavArora1213,2025-12-06,2,27,13,"add logs"
6fcecd3,MadhavArora1213,2025-12-06,1,6,7,"updated"
7fdf341,MadhavArora1213,2025-12-06,3,42,9,"updated"
6f0a0d6,MadhavArora1213,2025-12-06,1,46,20," chugyfd"
a107afc,MadhavArora1213,2025-12-06,4,101,17,"corec"
b4164b1,MadhavArora1213,2025-12-06,4,2185,28,"corect"
5860aec,MadhavArora1213,2025-12-06,15,3757,180,"correct"
2c122cc,MadhavArora1213,2025-12-06,1,1,1,"corect"
8cb7bd0,MadhavArora1213,2025-12-06,1,1,1,"correcf"
76bc8ed,MadhavArora1213,2025-12-06,1,2,2,"correct"
3542799,MadhavArora1213,2025-12-06,2,30,21,"correct"
6bc60e0,MadhavArora1213,2025-12-06,1,1,1,"fdgh"
8ac67e3,MadhavArora1213,2025-12-06,1,4,4,"correct"
e6e4a82,MadhavArora1213,2025-12-06,1,4,4,"correct"
fa8822e,MadhavArora1213,2025-12-06,1,11,0,"corect"
47d4dea,MadhavArora1213,2025-12-06,1,2,2,"update"
b6fac75,MadhavArora1213,2025-12-06,1,15,81,"uptate"
6b37a79,MadhavArora1213,2025-12-06,1,18,5,"correct"
f47fad2,MadhavArora1213,2025-12-06,1,1,0,"update"
e4019db,MadhavArora1213,2025-12-06,1,31,1,"correct"
3cbaec9,MadhavArora1213,2025-12-06,3,97,138,"sdfgh"
f0bb193,MadhavArora1213,2025-12-06,2,7,16,"t"
292b769,MadhavArora1213,2025-12-06,1,16,9,"correct"
1189ed9,MadhavArora1213,2025-12-06,3,382,25,"correct"
e0950b2,MadhavArora1213,2025-12-06,3,9,10,"correct"
6c2b774,MadhavArora1213,2025-12-06,1,1,1,"correct"
69036af,MadhavArora1213,2025-12-06,9,2231,31,"updated"
184ac6a,MadhavArora1213,2025-12-06,2,58,49,"updated"
436122a,MadhavArora1213,2025-12-06,1,1,2,"correct"
4330a85,MadhavArora1213,2025-12-06,1,6,3,"restate"
c055877,MadhavArora1213,2025-12-06,1,45,3,"correct"
7720f94,MadhavArora1213,2025-12-06,1,9,1,"correct"
dcb86d4,MadhavArora1213,2025-12-06,1,12,12,"correct"
dbec361,MadhavArora1213,2025-12-06,3,52,2,"corect"
a69578c,MadhavArora1213,2025-12-06,2,58,90,"more  correction"
47536c2,MadhavArora1213,2025-12-06,4,210,11,"correct"
1a12b22,MadhavArora1213,2025-12-06,1,108,2,"update"
1f0b8f7,MadhavArora1213,2025-12-06,1,5,4,"updated"
3344e22,MadhavArora1213,2025-12-06,1,3,3,"correct"
087638c,MadhavArora1213,2025-12-06,1,3,0,"correct"
2d3197b,MadhavArora1213,2025-12-06,1,73,64,"dwfgh"
c9f9acc,MadhavArora1213,2025-12-06,1,9,0,"correct"
d0472cd,MadhavArora1213,2025-12-06,1,0,1,"correct"
d305757,MadhavArora1213,2025-12-06,1,0,4,"correct"
94c00c2,MadhavArora1213,2025-12-06,19,7686,1277,"updated"
158a3de,MadhavArora1213,2025-12-06,1,27,15,"cirrect"
7c4c91b,MadhavArora1213,2025-12-06,1,26,18,"correct"
a2faa03,MadhavArora1213,2025-12-06,1,5,5,"correct"
4b2f176,MadhavArora1213,2025-12-06,1,1,1,"correct"
eb01ab4,MadhavArora1213,2025-12-06,1,0,1,"correct"
e0d0fca,MadhavArora1213,2025-12-06,1,80,0,"correct"
bb45ea0,MadhavArora1213,2025-12-06,1,18,13,"updated"
6c2e48e,MadhavArora1213,2025-12-06,1,13,19,"updated"
07f179f,MadhavArora1213,2025-12-06,1,21,93,"correct"
6782227,MadhavArora1213,2025-12-06,1,107,252,"code"
2806022,MadhavArora1213,2025-12-06,1,66,20,"updated"
0a128ac,MadhavArora1213,2025-12-06,1,5,5,"update"
f53a9ca,MadhavArora1213,2025-12-06,1,10,59,"update"
649ab39,MadhavArora1213,2025-12-06,2,10,10,"updated"
119d981,MadhavArora1213,2025-12-06,1,40,39,"updated"
1e67f21,MadhavArora1213,2025-12-06,1,2,2,"updaed"
b9c0d98,MadhavArora1213,2025-12-06,3,209,21,"updated"
e792b7f,MadhavArora1213,2025-12-06,1,18,0,"corredct"
3099800,MadhavArora1213,2025-12-06,3,131,4,"correct"
46c6e6a,MadhavArora1213,2025-12-06,2,19,39,"updated"
df695a0,MadhavArora1213,2025-12-06,1,36,18,"correct"
0e35908,MadhavArora1213,2025-12-06,1,66,49,"correct"
9c6d771,MadhavArora1213,2025-12-06,2,13,27,"publications"
bf0c2fc,MadhavArora1213,2025-12-06,1,57,60,"correct"
d0943f8,MadhavArora1213,2025-12-05,5,136,47,"correct"
0fc4f32,MadhavArora1213,2025-12-05,1,88,33,"update"
3e55b5c,MadhavArora1213,2025-12-05,1,30,30,"udpate"
39360ba,MadhavArora1213,2025-12-05,2,35,23,"code updated"
fff0db2,MadhavArora1213,2025-12-05,2,21,9,"Zxcv"
1e3279d,MadhavArora1213,2025-12-05,1,4,2,"website"
9126efd,MadhavArora1213,2025-12-05,2,3,3,"correct"
0b41728,MadhavArora1213,2025-12-05,1,193,68,"update"
d141424,MadhavArora1213,2025-12-05,2,4,11,"updated"
1c0bd41,MadhavArora1213,2025-12-05,1,13,13,"uupdate"
2ae054b,MadhavArora1213,2025-12-05,1,1,2,"correct"
5a44ecf,MadhavArora1213,2025-12-05,1,25,32,"correct"
06186c0,MadhavArora1213,2025-12-05,1,36,3,"correct"
4e8d134,MadhavArora1213,2025-12-05,1,10,5,"update"
bf0f4b5,MadhavArora1213,2025-12-05,1,59,3,"udpate"
6f3cd9d,MadhavArora1213,2025-12-05,1,70,45,"updated"
b23b2e2,MadhavArora1213,2025-12-05,1,24,6,"updated"
d5d5ac9,MadhavArora1213,2025-12-05,1,2,2,"update"
a8ef7db,MadhavArora1213,2025-12-05,1,26,1,"vg"
9a3cda8,MadhavArora1213,2025-12-05,2,54,16,"update"
fb6a587,MadhavArora1213,2025-12-05,2,30,3,"update"
6130bd5,MadhavArora1213,2025-12-05,2,3,3,"correct"
10d02fa,MadhavArora1213,2025-12-05,6,748,66,"correct"
1e91aee,MadhavArora1213,2025-12-05,1,3,5,"update"
2aa50a9,MadhavArora1213,2025-12-05,2,15,7,"correct"
0e10688,MadhavArora1213,2025-12-05,5,144,21,"updated"
95ac70b,MadhavArora1213,2025-12-05,1,25,4,"update"
